name1   name2   intermediate
Energy (pJ):    L1I     ITLB    3.635422e-02
Energy (pJ):    L1I     RR      2.434331e-01
Energy (pJ):    L1I     L2      1.818841e-01
Energy (pJ):    ITLB    BP      1.460709e-01
Energy (pJ):    ITLB    BTB     6.483807e-02
Energy (pJ):    BP      BTB     8.123283e-02
Energy (pJ):    GRF1    LSQ     9.819252e-02
Energy (pJ):    GRF1    EU1     1.222654e-01
Energy (pJ):    GRF1    EU2     1.092336e-01
Energy (pJ):    GRF1    EU3     1.092288e-01
Energy (pJ):    GRF1    EU4     9.709619e-02
Energy (pJ):    GRF2    LSQ     7.550006e-02
Energy (pJ):    GRF2    EU1     1.038604e-01
Energy (pJ):    GRF2    EU2     9.262701e-02
Energy (pJ):    GRF2    EU3     1.168970e-01
Energy (pJ):    GRF2    EU4     1.047644e-01
Energy (pJ):    GRF3    LSQ     5.870851e-02
Energy (pJ):    GRF3    EU1     8.278138e-02
Energy (pJ):    GRF3    EU2     6.974959e-02
Energy (pJ):    GRF3    EU3     6.974478e-02
Energy (pJ):    GRF3    EU4     5.761218e-02
Energy (pJ):    GRF4    LSQ     4.281660e-02
Energy (pJ):    GRF4    EU1     7.117697e-02
Energy (pJ):    GRF4    EU2     5.994355e-02
Energy (pJ):    GRF4    EU3     8.421356e-02
Energy (pJ):    GRF4    EU4     7.208096e-02
Energy (pJ):    WIN1    LSQ     2.047305e-02
Energy (pJ):    WIN1    RR      7.694704e-02
Energy (pJ):    WIN1    EU1     3.238190e-02
Energy (pJ):    WIN1    EU2     1.935012e-02
Energy (pJ):    WIN1    EU3     2.092391e-02
Energy (pJ):    WIN1    EU4     8.791313e-03
Energy (pJ):    WIN2    LSQ     1.661808e-02
Energy (pJ):    WIN2    RR      7.309207e-02
Energy (pJ):    WIN2    EU1     2.852693e-02
Energy (pJ):    WIN2    EU2     1.549515e-02
Energy (pJ):    WIN2    EU3     2.477888e-02
Energy (pJ):    WIN2    EU4     1.264628e-02
Energy (pJ):    WIN3    LSQ     1.276311e-02
Energy (pJ):    WIN3    RR      6.923710e-02
Energy (pJ):    WIN3    EU1     2.467196e-02
Energy (pJ):    WIN3    EU2     1.164018e-02
Energy (pJ):    WIN3    EU3     2.863385e-02
Energy (pJ):    WIN3    EU4     1.650125e-02
Energy (pJ):    WIN4    LSQ     2.176215e-02
Energy (pJ):    WIN4    RR      7.565794e-02
Energy (pJ):    WIN4    EU1     3.109280e-02
Energy (pJ):    WIN4    EU2     1.806102e-02
Energy (pJ):    WIN4    EU3     1.963481e-02
Energy (pJ):    WIN4    EU4     7.502210e-03
Energy (pJ):    LSQ     DTLB    2.801162e-02
Energy (pJ):    LSQ     RR      6.863800e-02
Energy (pJ):    LSQ     EU1     2.836037e-02
Energy (pJ):    LSQ     EU2     1.712695e-02
Energy (pJ):    LSQ     EU3     4.139696e-02
Energy (pJ):    LSQ     EU4     2.926436e-02
Energy (pJ):    LSQ     LRF1    5.768194e-02
Energy (pJ):    LSQ     LRF2    6.217335e-02
Energy (pJ):    LSQ     LRF3    4.543059e-02
Energy (pJ):    LSQ     LRF4    6.274988e-02
Energy (pJ):    LSQ     ROB     3.016355e-02
Energy (pJ):    DTLB    L1D     1.485934e-01
Energy (pJ):    L1D     L2      1.639678e-01
Energy (pJ):    RR      ROB     5.580337e-02
Energy (pJ):    EU1     LRF1    2.932157e-02
Energy (pJ):    EU1     LRF2    3.810049e-02
Energy (pJ):    EU1     LRF3    2.135773e-02
Energy (pJ):    EU1     LRF4    3.438951e-02
Energy (pJ):    EU1     ROB     1.123823e-02
Energy (pJ):    EU2     LRF1    4.055499e-02
Energy (pJ):    EU2     LRF2    5.113227e-02
Energy (pJ):    EU2     LRF3    3.438951e-02
Energy (pJ):    EU2     LRF4    4.562293e-02
Energy (pJ):    EU2     ROB     1.303660e-02
Energy (pJ):    EU3     LRF1    2.932638e-02
Energy (pJ):    EU3     LRF2    5.113708e-02
Energy (pJ):    EU3     LRF3    3.439432e-02
Energy (pJ):    EU3     LRF4    2.135292e-02
Energy (pJ):    EU3     ROB     1.123342e-02
Energy (pJ):    EU4     LRF1    4.145898e-02
Energy (pJ):    EU4     LRF2    6.326968e-02
Energy (pJ):    EU4     LRF3    4.652692e-02
Energy (pJ):    EU4     LRF4    3.348552e-02
